"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4202"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","102","13111","INTRO TO THE AIR FORCE II","N/A","Williams,Joseph D","16","17","0"," 3.731"," 3.231","87.5","6.3","0.0","6.3","1","7","5","2","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","102","1447","INTRO TO THE AIR FORCE II","N/A","Williams,Joseph D","10","15","0"," 3.970"," 3.396","100.0","0.0","0.0","0.0","5","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","152","29288","LLAB II","N/A","Schimp,Dustin Tyler","45","52","0"," 4.000"," 3.424","100.0","0.0","0.0","0.0","7","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","202","1450","TEAM AND LDRSP FUND II","N/A","Callaway,Russell C.","10","10","0"," 4.000"," 3.545","100.0","0.0","0.0","0.0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","302","1453","LEADING AND COMMUNICATION II","N/A","Schimp,Dustin Tyler","7","7","0"," 3.900"," 3.498","85.7","14.3","0.0","0.0","0","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","402","1456","NATL SEC/PREP ACTV DUTY II","N/A","Callaway,Russell C.","6","6","0"," 4.000"," 3.529","100.0","0.0","0.0","0.0","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2882","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","19","21","0"," 3.932"," 3.215","94.7","5.3","0.0","0.0","2","9","7","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2883","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","24","26","0"," 3.708"," 3.139","83.3","12.5","0.0","0.0","3","8","9","3","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2885","LEADERSHIP IN CHANGING ENVIRON","N/A","Vargas,Ralph Ruegamer","12","14","0"," 3.950"," 3.478","100.0","0.0","0.0","0.0","2","8","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2886","LEADERSHIP IN CHANGING ENVIRON","N/A","Vargas,Ralph Ruegamer","20","20","0"," 3.985"," 3.418","100.0","0.0","0.0","0.0","0","10","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2888","LEADERSHIP UNDER FIRE","N/A","Giordano,Anthony","19","19","0"," 3.889"," 3.462","84.2","15.8","0.0","0.0","0","5","11","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2889","LEADERSHIP UNDER FIRE","N/A","Giordano,Anthony","12","12","0"," 3.950"," 3.298","100.0","0.0","0.0","0.0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","402","2891","LEADERSHIP IN A COMPLEX WORLD","N/A","Giordano,Anthony","18","18","0"," 3.850"," 3.380","83.3","16.7","0.0","0.0","0","14","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","533","1035","DATA WAREHOUSING,MINING&VISUAL","N/A","Li,Jie","76","80","0"," 3.592"," 3.707","76.3","15.8","5.3","0.0","6","0","40","18","6","4","2","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","4","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","533","1046","DATA WAREHOUSING,MINING&VISUAL","N/A","Barsi Lopes,Alexandre","52","54","100"," 3.677"," 3.736","76.9","23.1","0.0","0.0","2","0","22","18","4","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","06-12-2020"
"IUBLA","Bloomington","4202","Spring 2020","1","Regular Academic Session","BUS","Kelley School of Business","BL-BUEX","Business Global Executive Mgt","BUEX","BUEX-C","533","1049","DATA WAREHOUSING,MINING&VISUAL","N/A","Li,Jie","76","84","0"," 3.529"," 3.617","68.4","23.7","5.3","0.0","10","0","34","18","14","0","4","2","2","0","0","0","0","2","0","0","0","0","0","0","0","2","6","0","06-12-2020"
