"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4198"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","1007","INTRO TO THE AIR FORCE I","N/A","Williams,Joseph D","17","29","0"," 3.553"," 3.234","76.5","17.6","0.0","0.0","13","2","7","4","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","6","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","101","14731","INTRO TO THE AIR FORCE I","N/A","Williams,Joseph D","12","20","0"," 3.733"," 2.930","83.3","16.7","0.0","0.0","8","0","6","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","151","36447","AF LLAB I","N/A","Schimp,Dustin Tyler","52","73","0"," 4.000"," 3.175","100.0","0.0","0.0","0.0","21","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","8","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","201","1010","TEAM AND LDRSP FUND USAF I","N/A","Callaway,Russell C.","12","22","0"," 3.808"," 3.212","83.3","16.7","0.0","0.0","10","7","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","301","1013","LEADING AND COMM USAF I","N/A","Schimp,Dustin Tyler","9","9","0"," 3.900"," 3.484","100.0","0.0","0.0","0.0","0","1","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","401","1016","NATL SEC PREP ACTV DUTY I","N/A","Callaway,Russell C.","6","6","0"," 3.950"," 3.497","100.0","0.0","0.0","0.0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2713","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","28","31","0"," 3.918"," 2.878","92.9","7.1","0.0","0.0","3","19","6","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","101","2714","LEADERSHIP&PERSONAL DEVELOPMNT","N/A","Vargas,Ralph Ruegamer","14","15","0"," 3.593"," 2.842","78.6","14.3","0.0","0.0","2","9","2","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2716","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","8","10","0"," 3.963"," 3.468","100.0","0.0","0.0","0.0","2","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","01-24-2020"
"IUBLA","Bloomington","4198","Fall 2019","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","201","2717","INNOVATIVE TACTICAL LEADERSHIP","N/A","Vargas,Ralph Ruegamer","26","26","0"," 3.835"," 3.278","92.3","0.0","7.7","0.0","0","6","17","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","01-24-2020"
