"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4222"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","102","1371","INTRO TO THE AIR FORCE II","N/A","O'Neill,Michael P","10","15","0"," 3.670"," 2.984","70.0","30.0","0.0","0.0","5","0","6","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","152","10265","LLAB II","N/A","Williams,Jason Patton","40","46","0"," 4.000"," 3.357","100.0","0.0","0.0","0.0","6","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","202","1372","TEAM AND LDRSP FUND II","N/A","Bofferding,Steven Michael","9","13","0"," 4.000"," 3.545","100.0","0.0","0.0","0.0","4","3","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","302","1373","LEADING AND COMMUNICATION II","N/A","Williams,Jason Patton","11","11","0"," 4.000"," 3.546","100.0","0.0","0.0","0.0","0","7","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","402","1374","NATL SEC/PREP ACTV DUTY II","N/A","Bofferding,Steven Michael","10","10","0"," 4.000"," 3.554","100.0","0.0","0.0","0.0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2615","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","10","12","0"," 3.630"," 2.820","80.0","0.0","20.0","0.0","2","6","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2616","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","18","18","0"," 3.850"," 3.211","88.9","5.6","5.6","0.0","0","3","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2618","LEADERSHIP IN CHANGING ENVIRON","N/A","Vargas,Ralph Ruegamer","6","7","0"," 3.950"," 3.026","100.0","0.0","0.0","0.0","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2619","LEADERSHIP IN CHANGING ENVIRON","N/A","Vargas,Ralph Ruegamer","8","8","0"," 3.875"," 3.538","87.5","12.5","0.0","0.0","0","1","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2022"
"IUBLA","Bloomington","4222","Spring 2022","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2621","LEADERSHIP UNDER FIRE","N/A","Giordano,Anthony","10","11","0"," 4.000"," 3.359","100.0","0.0","0.0","0.0","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-10-2022"
