"Grade Distribution by Institution, Course School, Department, Course, and Class Number for 4242"
"Institution Code","Inst Description","Term Code","Term Description","Session Code","Session Description","Academic Group Code","Academic Group Description","Academic Organization Code","Academic Organization Description","Department Code","Course Subject","Catalog Number","Class #","Course Description","Course Topic","Instructor Name","GPA Grades","Total Grades","Percent Majors","Avg Class Grade","Avg Student GPA","Percent A Grades","Percent B Grades","Percent C Grades","Percent D Grades","All Other Grades #","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","P","S","I","R","NY","NR","NC","W","WX","Other","Data Freeze Date"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","102","1296","INTRO TO THE AIR FORCE II","N/A","Auer,Jalen Jeffrey","16","19","0"," 4.000"," 3.067","100.0","0.0","0.0","0.0","3","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","152","8846","LLAB II","N/A","O'Neill,Michael P","38","41","0"," 4.000"," 3.192","100.0","0.0","0.0","0.0","3","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","202","1297","TEAM AND LDRSP FUND II","N/A","Lu,Hsiao-Wei","9","11","0"," 3.922"," 3.281","88.9","11.1","0.0","0.0","2","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","302","1298","LEADING AND COMMUNICATION II","N/A","O'Neill,Michael P","7","7","0"," 4.000"," 3.249","100.0","0.0","0.0","0.0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-AERO","Aerospace Studies","AERO","AERO-A","402","1299","NATL SEC/PREP ACTV DUTY II","N/A","Lu,Hsiao-Wei","8","8","0"," 4.000"," 3.466","100.0","0.0","0.0","0.0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2424","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","11","12","0"," 4.000"," 3.042","100.0","0.0","0.0","0.0","1","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","102","2425","FOUNDATIONS IN LEADERSHIP","N/A","Vargas,Ralph Ruegamer","21","22","0"," 3.890"," 3.359","90.5","9.5","0.0","0.0","1","17","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2427","LEADERSHIP IN CHANGING ENVIRON","LEADERSHIP AND TEAMWORK","Vargas,Ralph Ruegamer","12","12","0"," 4.000"," 3.631","100.0","0.0","0.0","0.0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","202","2428","LEADERSHIP IN CHANGING ENVIRON","LEADERSHIP AND TEAMWORK","Vargas,Ralph Ruegamer","13","13","0"," 3.954"," 3.376","100.0","0.0","0.0","0.0","0","8","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2430","LEADERSHIP UNDER FIRE","N/A","Giordano,Anthony","12","12","0"," 3.475"," 3.472","75.0","16.7","0.0","0.0","1","5","2","2","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","302","2431","LEADERSHIP UNDER FIRE","N/A","Giordano,Anthony","10","10","0"," 3.940"," 3.525","100.0","0.0","0.0","0.0","0","5","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-07-2024"
"IUBLA","Bloomington","4242","Spring 2024","1","Regular Academic Session","ADMIN","Administrative Tracking Group","BL-MIL","Military","MIL","MIL-G","402","2433","LEADERSHIP IN A COMPLEX WORLD","N/A","Giordano,Anthony","14","15","0"," 4.000"," 3.462","100.0","0.0","0.0","0.0","1","6","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","06-07-2024"
